,,NYC,NY,VT,NH,ME,MA,RI,CT,NJ,PA,PHIL,MD,DC,VA,WV,OH,PR,GA,FL,AL,TN,KY,SC,NC,DE,NIST,IN,MI,LA,MS,WI,MN,IA,IL,MO,AR,TX,OK,NE,KS,SD,ND,NM,WY,CO,Envision,MT,UT,AZ,STC,SDIR,CA,OR,WA,ID,AK,HI,
NYC,"New York, NY",,3.75,5.25,5.5,7,5,4.5,2.5,1.25,4,2,4,5,5.25,7.5,5.25,7.75,6.25,8,8,6.25,6.25,6.5,5.5,4,4.75,6.25,7.25,7,8.25,6.25,6.75,6.75,8,8.25,8.25,7.75,7.5,8.75,6.75,10.25,8.75,9.75,9.5,7.75,7.75,10,8.5,8.75,8.75,9.25,10,9,9,10.25,11.25,13,3
NY,"Albany, NY",3.75,,4.25,4.25,6,2.75,2.75,2,4.25,5.5,4.75,5,5,6,7,6.25,9,5.5,7.5,7.25,7,6.5,6.5,6.25,5.75,4.25,7.5,5.75,7.75,8,7,6.25,7.75,6.75,8.75,7.75,8.5,8,8,7.75,12,8.5,11.5,11.25,7.25,7.25,11.5,9.5,9.5,9.5,10.25,11,10.5,10.25,16,16,16,4
VT,"Montpelier, VT",5.25,4.25,,2,5,4,4.75,4.25,7.25,5.75,4.25,4.75,5.5,6.25,7,6.5,9,6.75,9.5,8.75,7.25,6.75,7,6.25,6.25,6.75,7.5,6.25,8.75,9,8,8.5,8,8.75,10,9,9.75,9.25,8.75,8,12.25,8.75,11.5,1.25,9.25,9.25,12.25,10.25,10,10,10.75,11.25,11,10.75,16,16,16,5
NH,"Concord, NH",5.5,4.25,2,,2.75,1.25,2,2.5,6.5,5.75,5.25,6.75,5.5,6.5,7.25,6.5,9.25,6.75,7.75,8.25,7.25,7,7,6.5,7,6.5,7.75,6.75,8.5,8.75,8,9,8.5,8.25,10.25,9.25,9.5,9.25,9,8.25,12.75,11,12.25,12,9.5,9.5,13,10.25,10.5,10.5,11,12,11.25,11.5,16,16,16,6
ME,"Augusta, ME",7,6,5,2.75,,2.75,4.5,5,8,8,6.5,8.75,7.5,6.5,10,7.5,10.5,8,9.75,10.25,7.75,10.5,9,6.75,8.5,8.5,8.5,9.25,8.75,10,9.5,9,10,10,11.25,10.25,10.75,11,10.5,9.75,13,10.75,12,13.75,9.25,9.25,11.75,10,10.25,10.25,12,11.25,11.5,10.75,16,16,16,7
MA,"Boston, MA",5,2.75,4,1.25,2.75,,1.25,1.75,6,5,4.5,6.75,5.5,4.75,7,5.25,7,5.75,7.25,7.75,5.75,7.75,6.75,5,6.5,6.5,6.25,6.25,6.5,8,7,6.75,7.75,7.5,8.75,7.75,7.25,8.25,8.25,6.5,10.25,8.5,9.75,11,7.5,7.5,10,8.5,8.5,8.5,9.25,9.75,9.25,9.25,10,12.75,15.75,8
RI,"Providence, RI",4.5,2.75,4.75,2,4.5,1.25,,1.75,5.75,6,5.25,6.5,5.25,6.25,7,6.5,8.75,5.75,7.25,7.75,6.75,7.75,6.5,6,7.25,6.25,7.5,7,7.75,7.25,7.25,8,8,8,9.25,7.75,8.75,8.25,8.5,7.75,12,9.75,11.25,12,8.75,8.75,12,9.5,10,10,10.5,11.25,10.75,10.75,16,16,16,9
CT,"Hartford, CT",2.5,2,4.25,2.5,5,1.75,1.75,,4.25,5.75,4.75,6,6.25,7.25,7.75,7.5,7.75,6.5,8,8,7.75,8.5,7.5,5.75,6,7.25,7.5,7.5,8.5,8.25,8,7,8.25,8,9,8.75,9.25,8.75,9,8.25,10.5,8.5,11.75,11.25,7.75,7.75,10,10,10,10,10.75,11.5,10.5,10.5,16,16,16,10
NJ,"Trenton, NJ",1.25,4.25,7.25,6.5,8,6,5.75,4.25,,2.25,1,2.5,4,6,8.75,6.5,9,5.25,9.25,9.25,7.5,7.5,7.75,4.5,2,3,7.25,8.5,8.25,9.5,7.5,8,8,9.25,9.5,9.5,9,8.75,10,8,11.5,10,11,10.75,9,9,11.25,9.75,10,10,10.5,10.5,10.25,10.25,16,16,16,11
PA,"Harrisburg, PA",4,5.5,5.75,5.75,8,5,6,5.75,2.25,,1.75,1.5,2.25,4.75,6.5,6,8.75,5,6.75,6.75,6.5,7,6.25,5.75,2.75,2,7.25,6,5.75,7.25,6.5,7.5,7,7.5,8.25,7.5,8,7.75,7.5,7.25,11.5,8.25,11.25,10.75,8.5,8.5,11.5,9,9.5,9.5,10,10.75,10.25,10.25,16,16,16,12
