,,NY CIR,NY,VT,NH,ME,MA,RI,CT,NJ,PA,PA PHIL,MD,DC,VA,WV,OH,PR,GA,FL,AL,TN,KT,SC,NC,DE,
NY CIR,"New York, NY",,4.0,5,5,7,5,5,4,2,4,4,4,5,5,8,6,8,5,7,7,5,5,6,5,6,3
NY,"Albany, NY",4,,4,4,7,5,4,3,4,5,3,5,4,6,7,7,9,5,7,8,7,7,7,6,5,4
VT,"Montpelier, VT",5,4,,3,5,4,5,4,7,6,5,4,4,6,7,6,9,7,8,8,7,7,7,6,7,5
NH,"Concord, NH",5,4,3,,4,2,3,4,7,6,5,4,4,6,7,6,9,6,7,7,7,7,7,6,7,6
ME,"Augusta, ME",7,7,5,4,,4,5,5,8,9,7,6,6,7,10,8,12,8,10,10,9,9,9,7,9,7
MA,"Boston, MA",5,5,4,2,4,,2,3,6,5,5,4,4,4,7,5,8,6,7,7,5,7,7,5,7,8
RI,"Providence, RI",5,4,5,3,5,2,,3,6,7,5,4,4,6,7,6,8,5,7,8,7,7,8,6,7,9
CT,"Hartford, CT",4,3,4,4,5,3,3,,7,6,5,4,4,6,7,6,8,5,7,7,7,7,8,5,7,10
NJ,"Trenton, NJ",2,4,7,7,8,6,6,7,,5,2,3,4,6,9,7,9,6,8,8,6,6,7,4,3,11
PA,"Harrisburg, PA",4,5,6,6,9,5,7,6,5,,3,2,4,5,6,6,9,5,7,7,6,6,6,6,4,12
PA PHIL,"Philidephia, PA",4,3,5,5,7,5,5,5,2,3,,2,3,2,5,4,8,5,7,7,5,5,6,4,2,13
MD,"Baltimore, MD",4,5,4,4,6,4,4,4,3,2,2,,2,5,6,6,8,5,6,6,5,4,6,4,3,14
DC,"Washington, DC",5,4,4,4,6,4,4,4,4,4,3,2,,3,4,4,8,5,6,6,5,4,6,4,3,15
VA,"Richmond, VA",5,6,6,6,7,4,6,6,6,5,2,5,3,,6,6,9,5,6,6,6,6,4,4,5,16
WV,"Charlston, WV",8,7,7,7,10,7,7,7,9,6,5,6,4,6,,4,9,4,6,6,6,4,6,6,7,17
OH,"Columbus, OH",6,7,6,6,8,5,6,6,7,6,4,6,4,6,4,,9,5,6,6,4,4,6,4,6,18
PR,"San Juan, PR",8,9,9,9,12,8,8,8,9,9,8,8,8,9,9,9,,8,9,9,9,10,9,9,10,19
GA,"Atlanta, GA",5,5,7,6,8,6,5,5,6,5,5,5,5,5,4,5,8,,4,7,4,4,4,4,7,20
FL,"Tallahassee, FL",7,7,8,7,10,7,7,7,8,7,7,6,6,6,6,6,9,4,,6,6,7,7,7,9,21
AL,"Montgomery, AL",7,8,8,7,10,7,8,7,8,7,7,6,6,6,6,6,9,7,6,,4,5,5,5,9,22
TN,"Nashville, TN",5,7,7,7,9,5,7,7,6,6,5,5,5,6,6,4,9,4,6,4,,5,7,5,7,23
KT,"Frankfort, KT",5,7,7,7,9,7,7,7,6,6,5,4,4,6,4,4,10,4,7,5,5,,5,5,7,24
SC,"Columbia, SC",6,7,7,7,9,7,8,8,7,6,6,6,6,4,6,6,9,4,7,5,7,5,,4,8,25
NC,"Raleigh, NC",5,6,6,6,7,5,6,5,4,6,4,4,4,4,6,4,9,4,7,5,5,5,4,,6,26
DE,"Dover, DE",6,5,7,7,9,7,7,7,3,4,2,3,3,5,7,6,10,7,9,9,7,7,8,6,,
